Group,Name,Points,Description,Reward
Unique Recipes,I Made That: Armorer I,5,Craft 40 unique armorer recipes.
Unique Recipes,I Made That: Armorer II,5,Craft 80 unique armorer recipes.
Unique Recipes,I Made That: Armorer III,10,Craft 170 unique armorer recipes.,Item: Master Armorer's Ring
Unique Recipes,I Made That: Armorer IV,10,Craft 230 unique armorer recipes.
Unique Recipes,I Made That: Armorer V,10,Craft and record completion of 300 unique armorer recipes.,Item: Blessed Hammerkeep's Beetle
Unique Recipes,I Made That: Armorer VI,10,Craft and record completion of 370 unique armorer recipes.,Item: Blessed Hammerking's Beetle
Synthesizing,Pounding Out the Dents: Amateur,5,Successfully synthesize 50 times for level 1-10 armorcraft recipes.
Synthesizing,Pounding Out the Dents: Initiate,5,Successfully synthesize 300 times for level 11-20 armorcraft recipes.
Synthesizing,Pounding Out the Dents: Apprentice,5,Successfully synthesize 750 times for level 21-30 armorcraft recipes.
Synthesizing,Pounding Out the Dents: Journeyman,5,"Successfully synthesize 1,500 times for level 31-40 armorcraft recipes."
Synthesizing,Pounding Out the Dents: Artisan,10,"Successfully synthesize 3,000 times for level 41-50 armorcraft recipes.",Title: Of the Golden Hammer
Synthesizing,Pounding Out the Dents: Adept,10,"Successfully synthesize 1,000 times for level 51-60 armorcraft recipes."
Synthesizing,Pounding Out the Dents: Veteran,10,"Successfully synthesize 1,000 times for level 61-70 armorcraft recipes."
Synthesizing,Pounding Out the Dents: Master,10,"Successfully synthesize 1,000 times for level 71-80 armorcraft recipes."
Synthesizing,An Armorer's Life for Me,30,"Obtain the first five ""Pounding Out the Dents"" achievements.",Item: Mallet of the Luminary
High Quality Crafts,An Eye for Detail: Armorer I,5,Craft 100 high-quality items as an armorer.
High Quality Crafts,An Eye for Detail: Armorer II,5,Craft 500 high-quality items as an armorer.
High Quality Crafts,An Eye for Detail: Armorer III,10,"Craft 3,000 high-quality items as an armorer."
High Quality Crafts,An Eye for Detail: Armorer IV,10,"Craft 5,000 high-quality items as an armorer."
High Quality Crafts,An Eye for Detail: Armorer V,10,"Craft 10,000 high-quality items as an armorer.",Title: Master Armorer
