Group,Name,Points,Description,Reward
The Binding Coil of Bahamut,The Binds that Tie I,5,Complete the Binding Coil of Bahamut. 
The Binding Coil of Bahamut,The Binds that Tie II,10,Complete the Binding Coil of Bahamut 5 times. 
The Binding Coil of Bahamut,The Binds that Tie III,20,Complete the Binding Coil of Bahamut 10 times. 
Ultimates,Resistance is Futile,10,Defeat Bahamut Prime in the Unending Coil of Bahamut (Ultimate).,Title: The Legend 
Ultimates,Ultimatum,10,Defeat the Ultima Weapon in the Weapon's Refrain (Ultimate).,Title: The Ultimate Legend 
Alexander: Gordias,Sins of the Father I,5,Complete Alexander: Gordias. 
Alexander: Gordias,Sins of the Father II,10,Complete Alexander: Gordias 5 times. 
Alexander: Gordias,Sins of the Father III,20,Complete Alexander: Gordias 10 times. 
Alexander: Gordias,Sins of the Savage Father I,5,Complete Alexander: Gordias (Savage). 
Alexander: Gordias,Sins of the Savage Father II,10,Complete Alexander: Gordias (Savage) 5 times. 
Alexander: Gordias,Sins of the Savage Father III,20,Complete Alexander: Gordias (Savage) 10 times. 
Omega: Deltascape,"I Am the Delta, I Am the Omega I",5,Complete Omega: Deltascape 
Omega: Deltascape,"I Am the Delta, I Am the Omega II",10,Complete Omega: Deltascape 5 times 
Omega: Deltascape,"I Am the Delta, I Am the Omega III",20,Complete Omega: Deltascape 10 times 
Omega: Deltascape,"I Am the Savage Delta, I Am the Savage Omega I",5,Complete Omega: Deltascape (Savage) 
Omega: Deltascape,"I Am the Savage Delta, I Am the Savage Omega II",10,Complete Omega: Deltascape (Savage) 5 times 
Omega: Deltascape,"I Am the Savage Delta, I Am the Savage Omega III",20,Complete Omega: Deltascape (Savage) 10 times. 
Omega: Alphascape,"I Am the Alpha, I Am the Omega I",5,Complete Omega: Alphascape 
Omega: Alphascape,"I Am the Alpha, I Am the Omega II",10,Complete Omega: Alphascape 5 times 
Omega: Alphascape,"I Am the Alpha, I Am the Omega III",20,Complete Omega: Alphascape 10 times 
Omega: Alphascape,"I Am the Savage Alpha, I Am the Savage Omega I",5,Complete Omega: Alphascape (Savage) 
Omega: Alphascape,"I Am the Savage Alpha, I Am the Savage Omega II",10,Complete Omega: Alphascape (Savage) 5 times 
Omega: Alphascape,"I Am the Savage Alpha, I Am the Savage Omega III",20,Complete Omega: Alphascape (Savage) 10 times 
The Second Coil of Bahamut,In Another Bind I,5,Complete the Second Coil of Bahamut. 
The Second Coil of Bahamut,In Another Bind II,10,Complete the Second Coil of Bahamut 5 times. 
The Second Coil of Bahamut,In Another Bind III,20,Complete the Second Coil of Bahamut 10 times. 
The Second Coil of Bahamut,A Flower by Any Other Name,10,Defeat Rafflesia within the first turn of the Second Coil of Bahamut (Savage).,Title: Rafflesia Reaper 
The Second Coil of Bahamut,Seconds,10,Defeat Melusine within the second turn of the Second Coil of Bahamut (Savage).,Title: Melusine Mauler 
The Second Coil of Bahamut,Obtanium,10,Defeat the Avatar within the third turn of the Second Coil of Bahamut (Savage).,Title: The Avatar 
The Second Coil of Bahamut,Scent of a Woman,10,Defeat Nael deus Darnus within the fourth turn of the Second Coil of Bahamut (Savage).,Title: Domitor/Domitrix 
Ivalice,Zodiac Thriller,5,Complete the Royal City of Rabanastre. 
Ivalice,"Didn't Stop, Made It Pop",5,Complete the Ridorana Lighthouse. 
Omega: Sigmascape,"I Am the Sigma, I Am the Omega I",5,Complete Omega: Sigmascape. 
Omega: Sigmascape,"I Am the Sigma, I Am the Omega II",10,Complete Omega: Sigmascape 5 times. 
Omega: Sigmascape,"I Am the Sigma, I Am the Omega III",20,Complete Omega: Sigmascape 10 times. 
Omega: Sigmascape,"I Am the Savage Sigma, I Am the Savage Omega I",5,Complete Omega: Sigmascape (Savage). 
Omega: Sigmascape,"I Am the Savage Sigma, I Am the Savage Omega II",10,Complete Omega: Sigmascape (Savage) 5 times. 
Omega: Sigmascape,"I Am the Savage Sigma, I Am the Savage Omega III",20,Complete Omega: Sigmascape (Savage) 10 times. 
Alexander,Sins of the Creator I,5,Complete Alexander. 
Alexander,Sins of the Creator II,10,Complete Alexander 5 times. 
Alexander,Sins of the Creator III,20,Complete Alexander 10 times. 
Alexander,Sins of the Savage Creator I,5,Complete Alexander (Savage). 
Alexander,Sins of the Savage Creator II,10,Complete Alexander (Savage) 5 times. 
Alexander,Sins of the Savage Creator III,20,Complete Alexander (Savage) 10 times. 
Alexander: Midas,Sins of the Son I,5,Complete Alexander: Midas. 
Alexander: Midas,Sins of the Son II,10,Complete Alexander: Midas 5 times. 
Alexander: Midas,Sins of the Son III,20,Complete Alexander: Midas 10 times. 
Alexander: Midas,Sins of the Savage Son I,5,Complete Alexander: Midas (Savage). 
Alexander: Midas,Sins of the Savage Son II,10,Complete Alexander: Midas (Savage) 5 times. 
Alexander: Midas,Sins of the Savage Son III,20,Complete Alexander: Midas (Savage) 10 times. 
The Final Coil of Bahamut,Out of a Bind I,5,Complete the Final Coil of Bahamut.,Minion: Wind-Up Louisoix
The Final Coil of Bahamut,Out of a Bind II,10,Complete the Final Coil of Bahamut 5 times. 
The Final Coil of Bahamut,Out of a Bind III,20,Complete the Final Coil of Bahamut 10 times. 
Crystal Tower,Let the Sun Shine In,20,Clear the World of Darkness. 
Crystal Tower,You Call That a Labyrinth,10,Complete the Labyrinth of the Ancients. 
Crystal Tower,Life is a Syrcus,10,Complete Syrcus Tower. 
Shadow of Mhach,Touching the Void,10,Complete the Void Ark. 
Shadow of Mhach,Ex Mhachina,10,Complete the Weeping City of Mhach. 
Shadow of Mhach,What's Dun Is Done,10,Complete Dun Scaith. 
Ivalice,Orbonne to Pick,5,Complete the Orbonne Monastery 
Eden,Paradise Found I,5,Complete Eden's Gate. 
Eden,Paradise Found II,10,Complete Eden's Gate 5 times. 
Eden,Paradise Found III,20,Complete Eden's Gate 10 times. 
Eden,Savage Paradise Found I,5,Complete Eden's Gate (Savage). 
Eden,Savage Paradise Found II,10,Complete Eden's Gate (Savage) 5 times. 
Eden,Savage Paradise Found III,20,Complete Eden's Gate (Savage) 10 times. 
Nier,The First Law,5,Complete the Copied Factory. 
Ultimates,When I Ruled The World,10,Defeat Perfect Alexander in the Epic of Alexander (Ultimate).,Title: The Perfect Legend 
