Number,Name,Method
1,A Light in the Storm,"Crafted by Level 50 Alchemist (Master Alchemist I ★★) with Faded Copy of A Light in the Storm, dropped in Pharos Sirius or Pharos Sirius (Hard)."
2,The Dark's Embrace,"Crafted by Level 30 Alchemist with Faded Copy of The Dark's Embrace, dropped in Copperbell Mines or Copperbell Mines (Hard)."
3,The Scars of Battle,"Crafted by Level 50 Alchemist (Master Alchemist I ★★) with Faded Copy of The Scars of Battle, dropped in The Lost City of Amdapor or The Lost City of Amdapor (Hard)."
4,Dark Vows,"Crafted by Level 30 Alchemist with Faded Copy of Dark Vows, dropped in Tam-Tara Deepcroft or Tam-Tara Deepcroft (Hard)."
5,Riptide,"Crafted by Level 30 Alchemist with Faded Copy of Riptide, dropped in Sastasha or Sastasha (Hard)."
6,Imagination,"Crafted by Level 60 Alchemist (Master Alchemist III) with Faded Copy of Imagination, dropped in The Aetherochemical Research Facility."
7,Down the Up Staircase,"Crafted by Level 60 Alchemist (Master Alchemist III ★) with Faded Copy of Down the Up Staircase, dropped in The Antitower."
8,Horizons Calling,"Drops from Hullbreaker Isle or Hullbreaker Isle (Hard)."
9,The Warrens,"Drops from Snowcloak."
10,Ink Long Dry,"Drops from The Great Gubal Library."
11,Unbreakable,"Drops from The Fractal Continuum."
12,Apologies,"Drops from Sohr Khai."
13,Silver Tears,"Drops from The Keeper of the Lake."
14,Slumber Eternal,"Drops from Sohm Al."
15,Grounded,"Reward for the quest Shadows of the First."
16,Blackbosom,"Chance of dropping when opening Iron-trimmed Sacks obtained from the Accursed Hoard between Floors 51-100 of Palace of the Dead."
17,Blasphemous Experiment,"Purchased from E-Una-Kotor in Quarrymill for 1 Gelmorran Potsherd after completing 100th Floor of Palace of the Dead."
18,Fog of Phantom,"Purchased from E-Una-Kotor in Quarrymill for 5 Gelmorran Potsherd after completing 150th Floor of Palace of the Dead."
19,Notice of Death,"Purchased from E-Una-Kotor in Quarrymill for 10 Gelmorran Potsherd after completing 200th Floor of Palace of the Dead."
20,Hallowed Halls,"Drops from The Vault."
21,Quicksand,"Reward for the quest The Fires of Sohm Al."
22,Another Brick,"Reward for the quest Griffin, Griffin on the Wall."
23,Poison Ivy,"Drops from Saint Mocianne's Arboretum."
24,Bibliophobia,"Drops from The Great Gubal Library (Hard)."
25,The Open Box,"Drops from Shisui of the Violet Tides."
26,Most Unworthy,"Drops from Bardam's Mettle."
27,Deception,"Drops from Kugane Castle."
28,Far From Home,"Drops from Drowned City of Skalla."
29,Their Deadly Mission,"Drops from The Temple of the Fist."
30,Liberty or Death,"Drops from Ala Mhigo."
31,Down Where Daemons Dwell,"Drops from Hells' Lid."
32,Unbreakable (Duality),"Drops from The Fractal Continuum (Hard)."
33,The Ancient City,"Drops from The Lost City of Amdapor (Hard)"
34,Gates of the Moon,"Drops from Doma Castle"
35,"Earth, Wind, and Water","Drops in the Swallow's Compass"
36,Upon the Rocks,"Drops from Pharos Sirius (Hard)"
37,Tricksome,"Drops from Wanderer's Palace (Hard)"
38,Beneath Bloodied Banners,"Drops from Halatali (Hard)"
39,From Mud,"Drops from Saint Mocianne's Arboretum (Hard)."
40,A Land Long Dead,"Drops from The Burn."
41,A Pall Most Murderous,"Drops in the Ghimlyt Dark"
42,Fury,"Drops in Brayflox's Longstop"
43,Alienus,"Drops in Castrum Abania"
44,To Fire and Sword,"Drops in Holminster Switch"
45,Figments,"Drops in Dohn Mheg"
46,Unwound,"Drops in The Qitana Ravel"
47,Deep Down,"Drops in Malikah's Well"
48,In the Belly of the Beast,"Drops in Mt. Gulg"
49,Mortal Instants,"Drops in Amaurot"
50,Shadows Withal,"Drops in Akadaemia Anyder"
51,A Long Fall,"Drops in The Twinning"
52,The Grand Cosmos,"Drops in The Grand Cosmos"
