Tribe,Level,Name,Rank
Amalj'aa,43,Peace for Thanalan,Neutral
Amalj'aa,43,Brotherhood of Ash,Neutral
Amalj'aa,43,A Sappy Ending,Neutral
Amalj'aa,43,A Shell to Scry On,Neutral
Amalj'aa,43,Arms of the U,Neutral
Amalj'aa,43,Borderline Slaughter,Neutral
Amalj'aa,43,Fighting Firesand with Fire,Neutral
Amalj'aa,43,Losing One's Tempered,Neutral
Amalj'aa,43,Luring Lacovie,Neutral
Amalj'aa,43,Ravage the Ravagers,Neutral
Amalj'aa,43,Blitzing the Beacons,Neutral
Amalj'aa,43,Smothering Instinct,Neutral
Amalj'aa,46,Ranger Rescue,Recognized
Amalj'aa,46,Beacon Keepers,Recognized
Amalj'aa,46,Before They Are Tempered,Recognized
Amalj'aa,46,Douse Them While They're Down,Recognized
Amalj'aa,46,Forged in Flame,Recognized
Amalj'aa,46,Hard to Port,Recognized
Amalj'aa,46,Rite Where It Hurts,Recognized
Amalj'aa,46,Singed Fur Their Own Good,Recognized
Amalj'aa,46,The Gland that Feeds You,Recognized
Amalj'aa,46,Thinning the Ranks,Recognized
Amalj'aa,46,This Infernal Heat,Recognized
Amalj'aa,48,An Eye on the Inside,Friendly
Amalj'aa,48,Demolition Drake,Friendly
Amalj'aa,48,Elite Beating,Friendly
Amalj'aa,48,Fire-spitting Image,Friendly
Amalj'aa,48,Fodder for the Flamefangs,Friendly
Amalj'aa,48,Hatchling Humiliation,Friendly
Amalj'aa,48,Nothing Sacred,Friendly
Amalj'aa,48,Pulling Fangs,Friendly
Amalj'aa,48,Raiding the Cache,Friendly
Amalj'aa,48,The Beacon That Burns You,Friendly
Amalj'aa,48,Unholier than Thou,Friendly
Amalj'aa,48,Martial Perfection,Trusted
Ixal,1,A Bad Bladder,Neutral
Ixal,1,Reaching for Cloud Nine,Neutral
Ixal,1,Deliverance,Neutral
Ixal,1,Keeping Up Appearances,Neutral
Ixal,1,"Blow, Ye Winds",Neutral
Ixal,1,Misdirected Woo,Neutral
Ixal,1,"Trust, but Verify",Neutral
Ixal,3,A Designer Job,Recognized
Ixal,3,Gyrodriven,Recognized
Ixal,3,Of Rodents and Rigging,Recognized
Ixal,3,One Ixal's Buzzard,Recognized
Ixal,3,The Right Tool for the Tools,Recognized
Ixal,3,What Evil Lurks in the Hearts of Golems,Recognized
Ixal,6,The Boy from Gridania,Friendly
Ixal,6,A Long Way to the Top,Friendly
Ixal,6,An Empty Sack Cannot Hang Downright,Friendly
Ixal,6,And Thanks for All the Fish,Friendly
Ixal,6,Hot Cross Buns,Friendly
Ixal,6,Simply the Biast,Friendly
Ixal,10,Lathe to the Party,Trusted
Ixal,10,Getting into Gear,Trusted
Ixal,10,Hells-vent on the Heavens,Trusted
Ixal,10,Larboard and Lodging,Trusted
Ixal,10,Left-wing Aeronautics,Trusted
Ixal,10,Reach for the Starboards,Trusted
Ixal,10,Right-wing Aeronautics,Trusted
Ixal,15,Standing at the Helm,Respected
Ixal,15,A Hard Knock Life,Respected
Ixal,15,Crazy Like the Pox,Respected
Ixal,15,Leave Nothing to Waste,Respected
Ixal,15,Manual Labor,Respected
Ixal,15,Never Steer You Wrong,Respected
Ixal,15,Tanks for Nothing,Respected
Ixal,16,Never Be Royal,Honored
Ixal,16,A High Wind in Ishgard,Honored
Ixal,16,Bring Your Own Ectoplasm,Honored
Ixal,16,In Case of Emergency,Honored
Ixal,16,Mining for Compliments,Honored
Ixal,16,We Fly High (Squawkin'),Honored
Ixal,16,West for Fishing,Honored
Ixal,16,Your Gil's No Good Here,Honored
Ixal,18,Spread Your Wings and Soar,Sworn
Kobold,41,Highway Robbery,Neutral
Kobold,41,How Low Can You Go,Neutral
Kobold,41,Battle of the Bottom-feeders,Neutral
Kobold,41,Bo Zu's Blown Cover,Neutral
Kobold,41,Finger Licking Good,Neutral
Kobold,41,Hells Have No Fury,Neutral
Kobold,41,Ill-gotten Gains,Neutral
Kobold,41,Know Your Place,Neutral
Kobold,41,Misery Loves Company,Neutral
Kobold,41,Mothers of All Bombs,Neutral
Kobold,41,No Such Thing as a Free Lunch,Neutral
Kobold,41,Rubbish for Refuse,Neutral
Kobold,44,No-good Zo Ga's Ambition,Recognized
Kobold,44,Too Hot to Handle,Recognized
Kobold,44,A Dangerous Delivery,Recognized
Kobold,44,Ambushing the Assessor,Recognized
Kobold,44,Armed and Dangerous,Recognized
Kobold,44,Belles of the Ball,Recognized
Kobold,44,Brain Buster,Recognized
Kobold,44,Contents Unknown,Recognized
Kobold,44,Operation Riffraff,Recognized
Kobold,44,The Lode Warrior,Recognized
Kobold,44,The Sly Salvages,Recognized
Kobold,48,The Kobold and the Beautiful,Friendly
Kobold,48,Fulminating Furnaces,Friendly
Kobold,48,A Coblyn Catastrophe,Friendly
Kobold,48,A Meal Fit for a Fugleman,Friendly
Kobold,48,Angry Angry Acolyte,Friendly
Kobold,48,Ba Go's Behest,Friendly
Kobold,48,Friends in Low Places,Friendly
Kobold,48,Genius at Work,Friendly
Kobold,48,Glutton for Punishment,Friendly
Kobold,48,Spread the Wealth,Friendly
Kobold,48,Wrath of the Roundsman,Friendly
Kobold,48,Revenge of the Furred,Trusted
Sahagin,44,They Came from the Deep,Neutral
Sahagin,44,Clutch and Kin,Neutral
Sahagin,44,A Quick Snip,Neutral
Sahagin,44,Enemy at the Tidegates,Neutral
Sahagin,44,A Crate-ful Response,Neutral
Sahagin,44,A Killer Strategy,Neutral
Sahagin,44,A Taste for Paste,Neutral
Sahagin,44,Skullduggery,Neutral
Sahagin,44,Spawning Ground Salvation,Neutral
Sahagin,44,Standard Procedure,Neutral
Sahagin,44,Violence of the Clams,Neutral
Sahagin,44,Wind from Their Sails,Neutral
Sahagin,46,The Scarlet Bloodletter,Recognized
Sahagin,46,A Nap Before Drowning,Recognized
Sahagin,46,Ain't Got Time to Breed,Recognized
Sahagin,46,Ballista Bust-up,Recognized
Sahagin,46,Better Ash than Blood,Recognized
Sahagin,46,Clutchfather Knows Best,Recognized
Sahagin,46,Get a Lode of This,Recognized
Sahagin,46,In the Shadow of the Moon,Recognized
Sahagin,46,Learn by Destroying,Recognized
Sahagin,46,"Move Along, Nothing to Heal Here",Recognized
Sahagin,46,Put a Shhhock in It,Recognized
Sahagin,48,Watching the Spawn,Friendly
