Number,Name,Method
1,Torn from the Heavens,"Bought from the Gold Saucer Attendant <Prize Claim> at the Gold Saucer for 30,000 MGP."
2,Ultima,"Add 30 unique music rolls to your orchestrion."
3,The Maker's Ruin,"Crafted by Level 50 Alchemist (Master Alchemist I ★★★) from Faded Copy of The Maker's Ruin, dropped in The Minstrel's Ballad: Ultima's Bane."
4,Primal Judgment,"Crafted by Level 50 Alchemist (Master Alchemist I ★★★) from Faded Copy of Primal Judgment, dropped in The Bowl of Embers (Extreme)."
5,Fallen Angel,"Crafted by Level 50 Alchemist (Master Alchemist I ★★★) from Faded Copy of Fallen Angel, dropped in The Howling Eye (Extreme)."
6,Under the Weight,"Crafted by Level 50 Alchemist (Master Alchemist I ★★★) from Faded Copy of Under the Weight, dropped in The Navel (Extreme)."
7,Heroes,"Crafted by Level 60 Alchemist (Master Alchemist III ★) from Faded Copy of Heroes, dropped in The Minstrel's Ballad: Thordan's Reign."
8,Fiend,"Crafted by Level 60 Alchemist (Master Alchemist III ★) from Faded Copy of Fiend, dropped in Containment Bay S1T7 (Extreme)."
9,Wreck to the Seaman,"Crafted by Level 50 Alchemist (Master Alchemist I ★★★) from Faded Copy of Wreck to the Seaman, dropped in The Whorleater (Extreme)."
10,Through the Maelstrom,"Crafted by Level 50 Alchemist (Master Alchemist I ★★★) with Faded Copy of Through the Maelstrom, dropped in The Whorleater (Extreme)."
11,Good King Moggle Mog XII,"Crafted by Level 50 Alchemist (Master Alchemist I ★★★) with Faded Copy of Good King Moggle Mog XII, dropped in Thornmarch (Extreme)."
12,Revenge of the Horde,"Crafted by Level 60 Alchemist (Master Alchemist IV ★★) with Faded Copy of Revenge of the Horde, dropped in The Minstrel's Ballad: Nidhogg's Rage."
13,Battle on the Big Bridge,"Crafted by Level 50 Alchemist (Master Alchemist I ★★) with Faded Copy of Battle on the Big Bridge, dropped in Battle on the Big Bridge or Battle in the Big Keep."
14,Battle to the Death - Heavensward,"Bought from the Gold Saucer Attendant <Prize Claim> at the Gold Saucer for 20,000 MGP."
15,Footsteps in the Snow,"Crafted by Level 50 Alchemist (Master Alchemist II ★★★★) with Faded Copy of Footsteps in the Snow, dropped in Akh Afah Amphitheatre (Extreme)."
16,Oblivion,"Crafted by Level 50 Alchemist (Master Alchemist II ★★★★) with Faded Copy of Oblivion, dropped in Akh Afah Amphitheatre (Extreme)."
17,Thunder Rolls,"Crafted by Level 50 Alchemist (Master Alchemist II ★★★★) with Faded Copy of Thunder Rolls, dropped in The Striking Tree (Extreme)."
18,Equilibrium,"Crafted by Level 60 Alchemist (Master Alchemist IV ★★) with Faded Copy of Equilibrium, dropped in Containment Bay P1T6 (Extreme)."
19,The Corpse Hall,"Crafted by Level 50 Alchemist (Master Alchemist II ★★★★) with Faded Copy of The Corpse Hall, dropped in Urth's Fount."
20,Limitless Blue,"Crafted by Level 60 Alchemist (Master Alchemist III ★) with Faded Copy of Limitless Blue, dropped in The Limitless Blue (Extreme)."
21,Woe That Is Madness,"Crafted by Level 60 Alchemist (Master Alchemist III ★) with Faded Copy of Woe That Is Madness, dropped in The Limitless Blue (Extreme)."
22,The Hand That Gives the Rose,"Crafted by Level 60 Alchemist (Master Alchemist III ★) with Faded Copy of The Hand That Gives the Rose, dropped in Thok ast Thok (Extreme)."
23,Unbending Steel,"Crafted by Level 60 Alchemist (Master Alchemist III ★) with Faded Copy of Unbending Steel, dropped in Thok ast Thok (Extreme)."
24,Infinity,"Crafted by Level 60 Alchemist (Master Alchemist IV ★★★) with Faded Copy of Infinity, dropped in Containment Bay Z1T9 (Extreme)."
25,Revelation,"Crafted by Level 70 Alchemist (Master Alchemist IV ★) with Faded Copy of Revelation, dropped in The Pool of Tribute (Extreme)."
26,Beauty's Wicked Wiles,"Crafted by Level 70 Alchemist (Master Alchemist IV ★) with Faded Copy of Beauty's Wicked Wiles, dropped in Emanation (Extreme)."
27,The Worm's Head,"Crafted by Level 70 Alchemist (Master Alchemist V ★) from Faded Copy of The Worm's Tail, dropped in Minstrel's Ballad: Shinryu's Domain."
28,The Worm's Tail,"Crafted by Level 70 Alchemist (Master Alchemist V ★) from Faded Copy of The Worm's Tail, dropped in Minstrel's Ballad: Shinryu's Domain."
29,Answer on High,"Crafted by Level 70 Alchemist (Master Alchemist VI ★★★) from Faded Copy of the Jade Stoa, dropped in The Jade Stoa (Extreme)."
30,Amatsu Kaze,"Crafted by Level 70 Alchemist (Master Alchemist VI ★★★) from Faded Copy of the Jade Stoa, dropped in The Jade Stoa (Extreme)."
31,Nightbloom,"Level 70★★★ Alchemist (Master Alchemist VI) from Faded Copy of Under the Moonlight"
32,Wayward Daughter,"Level 70★★★ Alchemist (Master Alchemist VI) from Faded Copy of Under the Moonlight"
33,Savage of the Ancient Forest,"Available for Exchange in Kugane"
34,Proof of a Hero - Monster Hunter World Version,"Obtained in the Great Hunt (Extreme)"
35,Sunrise,"Level 70★★★ Alchemist (Master Alchemist VI) from Faded Copy of Sunrise"
36,From the Dragon's Wake,"Level 70★★★ Alchemist (Master Alchemist VI) from Faded Copy of From the Dragon's Wake"
37,What Angel Wakes Me,"Level 80★ Alchemist (Master Alchemist VI) from Faded Copy of From the Dancing Plague (Extreme)"
38,Insanity,"Level 80★ Alchemist (Master Alchemist VI) from Faded Copy of From the Crown of the Immaculate (Extreme)"
39,Invincible,"Level 80★★ Alchemist (Master Alchemist VII) from Faded Copy of From The Minstrel's Ballad: Hades's Elegy"
