Group,Name,Points,Description,Reward
Relic Weapons,Raising the Curtana,10,"Obtain Curtana and a Holy Shield in the quest ""A Relic Reborn.""",Title: The True
Relic Weapons,Enter the Coeurl,10,"Obtain a pair of Sphairai in the quest ""A Relic Reborn.""",Title: Coeurlfist
Relic Weapons,Cleaving to Tradition,10,"Obtain a Bravura in the quest ""A Relic Reborn.""",Title: Ironeater
Relic Weapons,Having a Gae Old Time,10,"Obtain Gae Bolg in the quest ""A Relic Reborn.""",Title: Of the Vengeful Lance
Relic Weapons,Hard to Miss,10,"Obtain the Artemis Bow in the quest ""A Relic Reborn.""",Title: The Godsbow
Relic Weapons,Yoshimitsu's Island,10,"Obtain a pair of Yoshimitsu in the quest ""A Relic Reborn.""",Title: The Shadow
Relic Weapons,Dressed to Heal,10,"Obtain Thyrus in the quest ""A Relic Reborn.""",Title: The White
Relic Weapons,Ohohohohoho!,10,"Obtain a Stardust Rod in the quest ""A Relic Reborn.""",Title: Starcaller
Relic Weapons,Green Eyes,10,"Obtain the Veil of Wiyu in the quest ""A Relic Reborn.""",Title: Green Eyes
Relic Weapons,The Reader,10,"Obtain a copy of the Omnilex in the quest ""A Relic Reborn.""",Title: The Strategist
Relic Weapons,Armed to the Teeth,30,"Obtain Curtana, a Holy Shield, a pair of Sphairai, a Bravura, Gae Bolg, the Artemis Bow, Thyrus, a Stardust Rod, the Veil of Wiyu, and a copy of the Omnilex in the quest ""A Relic Reborn.""",Title: The Insatiable
Relic Weapons,Taking It to the Stars,10,Obtain a relic weapon animus.
Relic Weapons,A Star Is Born,10,Obtain a relic weapon novus.
Relic Weapons,Inspire the Nexus,10,Obtain a relic weapon nexus.
