Name,Zone,Location
Triple Triad Master,The Gold Saucer,"Card Square (4,7)"
Jonas of the Three Spades,The Gold Saucer,"Card Square (4,7)"
Memeroon,Upper La Noscea,"Oakwood (14,24)"
Roger,Central Thanalan,"Black Brush (19,20)"
Saushs Koal,Norvrandt,"The Tempest (31.6, 17.3)"
"Wyra ""Greenhands"" Lyehga",Triple Triad Battlehall,"Battlehall (3.3,3.3)"
F'hobhas,Central Thanalan,"Black Brush (23,13)"
Glynard,The Crystarium,"The Wandering Stairs (10.8-15.2)"
Guhtwint of the Three Diamonds,The Gold Saucer,"Card Square (4,7)"
Maisenta,Gridania,"New Gridania (11,11)"
Seika,The Dravanian Hinterlands,"Idyllshire (6,7)"
Wymond,Ul'dah,"Steps of Nald (9,8)"
Drery,Norvrandt,"Amh Araeng (12, 17)"
Ercanbald,Rhalgr's Reach,"Rhalgr's Reach(9.8,9.8)"
Gyoei,Yanxia,"Yuzuka Manor (15.7,31.9)"
Gyuf Uin,Norvrandt,"Il Mheg (16.1, 30.6)"
Ibenart,Norvrandt,"Kholusia (19.1, 17.4)"
Joellaut,Coerthas Central Highlands,"Whitebrim (13,15)"
Mimidoa,Lower La Noscea,"The Gods' Grip (25,35)"
Momodi,Ul'dah,"Steps of Nald (11,9)"
Mother Miounne,Gridania,"New Gridania (11,13)"
Trachtoum,Lower La Noscea,"Cedarwood (35,15)"
Aurifort of the Three Clubs,The Gold Saucer,"Card Square (4,7)"
Baderon,Limsa Lominsa,"Limsa Lominsa Upper Decks (11,11)"
Fufulupa,Western Thanalan,"Horizon's Edge (22,17)"
Hokushin,Kugane,"Kugane  (14.4-11.2)"
Marcechamp,The Dravanian Forelands,"Chocobo Forest (31,23)"
Prideful Stag,Triple Triad Battlehall,"Battlehall (3.7,3.3)"
Eo Sigun,Norvrandt,"Il Mheg (22,3)"
Garima,The Fringes,"Vira Nilya (28.2-19.9)"
Helmhart,Eastern Thanalan,"Drybone (20,21)"
Kotokaze,Kugane,"Shiokaze Hostelry (10.2,10.2)"
Piralnaut,East Shroud,"Nine Ivies (17,26)"
Tsuzura,The Ruby Sea,"The Ruby Sea (28.5,16.4)"
Ushiogi,The Ruby Sea,"Rasen Kaikyo (21.7-7.9)"
Yusui,The Ruby Sea,"Sakazuki (31.6,37.1)"
Dominiac,Coerthas Western Highlands,"Twinpools (16,22)"
Hargra,Norvrandt,"Rak'tika Greatwood (18.6, 26)"
House Fortemps Manservant,Fortemps Manor,"Various (Inside Fortemps Manor)"
Kaizan,The Ruby Sea,"The Ruby Sea (22.3,8.6)"
Lamlyn,Norvrandt,"Lakeland (35.4, 20.2)"
Linu Vali,The Sea of Clouds,"Various"
Noes,Gridania,"Old Gridania (10,5)"
Botan,Kugane,"Pier 1  (7.8-14.7)"
Hetsukaze,Kugane,"Pier 1  (8.0-13.6)"
Idle Imperial,Azys La,"Gamma Quadrant (28,31)"
Landenel,South Shroud,"Camp Tranquil (16,28)"
Mero Roggo,The Dravanian Hinterlands,"The Ruling Quarter (12.7-36.8)"
Mordyn,Limsa Lominsa,"Limsa Lominsa Upper Decks (11,7)"
Nell Half-Full,Triple Triad Battlehall,"Battlehall (3.3,3.7)"
O'kalkaya,Limsa Lominsa,"Limsa Lominsa Upper Decks (12,13)"
Redbill Storeboy,Idyllshire,"Greengrub Mudplots"
Swift,Ul'dah,"Steps of Nald (8,8)"
Yayake,Ul'dah,"Ul'dah - Steps of Nald (7,12)"
Yellow Moon,Ul'dah,"Ul'dah - Steps of Nald (14,13)"
