Number,Name,Method
1,Hubris,"Crafted by Level 50 Alchemist (Master Alchemist II ★★★★) with Faded Copy of Hubris, dropped in Labyrinth of the Ancients."
2,Tumbling Down,"Crafted by Level 50 Alchemist (Master Alchemist II ★★★★) with Faded Copy of Tumbling Down, dropped in Labyrinth of the Ancients."
3,Out of the Labyrinth,"Crafted by Level 50 Alchemist (Master Alchemist II ★★★★) with Faded Copy of Out of the Labyrinth, dropped in Syrcus Tower."
4,Now I Know the Truth,"Crafted by Level 50 Alchemist (Master Alchemist II ★★★★) with Faded Copy of Now I Know the Truth, dropped in Syrcus Tower."
5,Blind to the Dark,"Crafted by Level 50 Alchemist (Master Alchemist II ★★★★) with Faded Copy of Blind to the Dark, dropped in World of Darkness."
6,Hunger,"Crafted by Level 50 Alchemist (Master Alchemist II ★★★★) with Faded Copy of Hunger, dropped in World of Darkness."
7,Eternal Wind,"Crafted by Level 60 Alchemist (Master Alchemist III ★) with Faded Copy of Tumbling Down, Faded Copy of Out of the Labyrinth and Faded Copy of Hunger, dropped in Labyrinth of the Ancients, Syrcus Tower, and World of Darkness."
8,Thunderer,"Crafted by Level 50 Alchemist (Master Alchemist II ★★★★) Faded Copy of Thunderer, dropped in The Binding Coil of Bahamut - Turn 5."
9,Rise of the White Raven,"Crafted by Level 50 Alchemist (Master Alchemist II ★★★★) Faded Copy of Rise of the White Raven, dropped in The Second Coil of Bahamut - Turn 4."
10,From the Ashes,"Crafted by Level 50 Alchemist (Master Alchemist II ★★★★) Faded Copy of From the Ashes, dropped in The Final Coil of Bahamut - Turn 3."
11,Answers,"Crafted by Level 60 Alchemist (Master Alchemist IV ★★) Faded Copy of Thunderer, Faded Copy of Rise of the White Raven, and Faded Copy of Answers, dropped in The Binding Coil of Bahamut - Turn 5, The Second Coil of Bahamut - Turn 4, and The Final Coil of Bahamut - Turn 4."
12,"Sins of the Father, Sins of the Son","Reward for the quest Of Endings and Beginnings."
13,Locus,"Reward for the quest Of Endings and Beginnings."
14,Metal,"Reward for the quest Of Endings and Beginnings."
15,Metal - Brute Justice Mode,"Reward for the quest Of Endings and Beginnings."
16,Exponential Entropy,"Reward for the quest Thus Spake Quickthinx."
17,Rise,"Reward for the quest Judgment Day."
18,Moebius,"Purchased from Bertana in Idyllshire for 1 Alexandrian Gear."
19,Tempest,"Bought from the Gold Saucer Attendant <Prize Claim> at the Gold Saucer for 30,000 MGP."
20,Spiral,"Bought from the Gold Saucer Attendant <Prize Claim> at the Gold Saucer for 30,000 MGP."
21,Aetherosphere,"Purchased from Bertana in Idyllshire for 1 Mhachi Farthing."
22,Six Fulms Under,"Purchased from Bertana in Idyllshire for 1 Mhachi Farthing."
23,Teardrops in the Rain,"Purchased from Bertana in Idyllshire for 1 Mhachi Penny."
24,A Thousand Faces,"Purchased from Bertana in Idyllshire for 1 Mhachi Penny."
25,Promises,"Reward for the quest Where Shadows Reign."
26,Shadow of the Body,"Reward for the quest Where Shadows Reign."
27,Trisection,"Drops from the final chest of The Royal City of Rabanastre."
28,Precipitous Combat,"Drops from the final chest of The Royal City of Rabanastre."
29,Ultima's Transformation,"Drops from the final chest of The Royal City of Rabanastre."
30,Protagonist's Theme,"Reward for the quest A City Fallen."
31,Background Story,"Reward for the quest A City Fallen."
32,Shattered,"Drops from Syrcus Tower."
33,World Map,"Reward for the quest Desire"
34,A Chapel,"Reward for Annihilation"
35,The Mystery of Giruvegan,"Acquired in The Ridorana Lighthouse"
36,Apoplexy,"Acquired in The Ridorana Lighthouse"
37,Flash of Steel,"Acquired in The Ridorana Lighthouse"
38,Deltascape,"Unlocking Alphascape 1.0"
39,Omega Squared,"Deltascape V1.0, V2.0, or V3.0."
40,Decisions,"Deltascape V4.0."
41,"Final, Not Final","2 Deltascape Bolts"
42,A Battle Decisively,"Sigmascape V1.0, V2.0, or V3.0."
43,Dancing Mad - Movement I,"Sigmascape V4.0."
44,Dancing Mad - Movement II,"Sigmascape V4.0."
45,Dancing Mad - Movement III,"Sigmascape V4.0."
46,Dancing Mad - Movement IV,"2 Sigmascape Bolts"
47,Battle,"Alphascape V1.0."
48,Primogenitor,"Alphascape V2.0."
49,eScape,"Alphascape V3.0."
50,Heartless,"Alphascape V4.0."
51,From the Heavens,"2 Alphascape Bolts"
52,Beyond Redemption,"Exchange in Old Gridania"
53,Staff Credits,"Return to Ivalice Quests"
54,Alma's Theme,"Return to Ivalice Quests"
55,Under the Stars,"Orbonne Monastery"
56,Fear (No. 1),"Orbonne Monastery"
57,Antipyretic,"Orbonne Monastery"
58,A Man Consumed,"Orbonne Monastery"
59,Ultima's Perfection,"Orbonne Monastery"
60,Force Your Way,"Obtained in Eden's Gate: Resurrection or Descent."
61,Blinding Indigo,"Obtained in Eden's Gate: Inundation."
62,Landslide,"Obtained in Eden's Gate: Sepulture."
63,Significance,"YoRHa: Dark Apocalypse Quests"
64,City Ruins (Rays of Light),"The Copied Factory"
65,Voice of no Return,"YoRHa: Dark Apocalypse Quests"
66,Alien Manifestation,"The Copied Factory"
67,Song of the Ancients (Atonement),"The Copied Factory"
68,The Sound of the End,"The Copied Factory"
69,Weight of the World (Prelude Version),"The Copied Factory"
