Name,Method
Adamantoise,"200,000 MGP from Gold Saucer Attendant (Prize Claim)"
Aerodynamics System,"Awarded from the Achievement In a Blaze of Glory V."
Ahriman,"Achievement Certificates"
Air Force,"Guaranteed drop from Sigmascape V4.0 (Savage)"
Aithon,"Dropped by Ifrit in The Bowl of Embers (Extreme)."
Alte Roite,"Drops from Deltascape V4.0 (Savage)"
Amaro,"Completion of the Life of Adventure IV Achievement"
Amber Draught Chocobo,"8x Gold Chocobo Feathers, which are received from the Recruit a Friend Campaign."
Aquamarine Carbuncle,"Purchased from the Mog Station for EUR 16.80 or $24."
Archon Throne,"750,000 MGP from Gold Saucer Attendant"
Arrhidaeus,"Dropped from Alexander - The Soul of the Creator (Savage) (A12S)"
Astrope,"Rewarded from the 2,000 Mentor Roulette Achievement"
Auspicious Kamuy,"Rarely from The Jade Stoa (Extreme)."
Battle Bear,"Awarded from the Achievement Tank You, Warrior III."
Battle Lion,"Awarded from the Achievement Tank You, Paladin III."
Battle Panther,"Awarded from the Achievement Tank You, Dark Knight III. "
Battle Tiger,"Completion of the Tank you Gunbreaker III achievement."
Behemoth,"Achievement Certificates"
Bennu,"Purchased from the Mog Station for EUR 16.80 or $24."
Black Chocobo,"Completion of Divine Intervention Heavensward Main Scenario Quest"
Black Pegasus,"From Gold-trimmed Sacks found in Floors 151 - 200 of Palace of the Dead."
Blissful Kamuy,"Dropped from Emanation (Extreme) (Lakshmi Ex)."
Bomb Palanquin,"Kobold Vendor with ""Trusted"" Reputation with the tribe."
Boreas,"Dropped by Shiva in The Akh Afah Amphitheatre (Extreme)"
Broken Heart (Left),"Valentione's Day (2018)"
Broken Heart (Right),"Valentione's Day (2018)"
Cavalry Drake,"Amalj'aa Vendor with ""Trusted"" Reputation with the tribe."
Cavalry Elbst,"Sahagin Vendor with ""Trusted"" Reputation with the tribe."
Centurio Tiger,"You Got Game Hunt Achievement"
Ceremony Chocobo,"Obtain from Gold or Platinum Eternal Bond."
Circus Ahriman,"All Saint's Wake 2019"
Citrine Carbuncle,"Purchased from the Mog Station for EUR 16.80 or $24."
Cloud Mallow,"200,000 gil from Mogmul Mogbelly, at Rank 7 (Sworn) with the Moogle Beast Tribe."
Coeurl,"Coeurl Mount is available to players who have purchased the Collector's Edition."
Company Chocobo,"Completion of one of the My Little Chocobo Grand Company quests."
Construct VII,"Awarded from the achievement One Steppe At A Time V"
Dark Lanner,"Rare drop from Nidhogg Extreme"
Demi-Osma,"Completion of the achievement We're on Your Side I"
Demonic Lanner,"Drops from Containment Bay Z1T9 (Extreme) (Zurvan EX)."
Direwolf,"Ixali Vendor with ""Sworn"" Reputation with the tribe."
Disembodied Head,"Bought from E-Una-Kotor for 10x Gelmorran Potsherd."
Dodo,"Rarely from Platinum-haloed Sacks from Heaven-on-High"
Draught Chocobo,"Received from the Recruit a Friend Campaign."
Eggshilaration System,"Purchased from the Mog Station for EUR 8.40 or $12."
Eldthurs,"Forbidden Land, Eureka Pyros"
Enbarr,"Dropped by Leviathan in The Whorleater (Extreme)."
Euphonious Kamuy,"Trial reward for Hell's Kier (Extreme)"
Eurekan Petrel,"Rarely drops from Eureka Hydatos bunny chest."
Fae Gwiber,"Trial reward for Titania - Dancing Plague (Extreme)."
Falcon,"Acquired from Fly the Falcon Mount Campaign"
Fat Black Chocobo,"Amazon Promotion"
Fat Chocobo,"Obtained from A Realm Reborn Collector's Edition Bonuses."
Fat Moogle,"Purchased from the Mog Station for EUR 16.80 or $24."
Fatter Cat,"Purchased from the Mog Station for EUR 16.80 or $24."
Fenrir,"1,000,000 MGP from Gold Saucer Attendant (Prize Claim)"
Firebird,"Acquired all 7 Lanner mounts then complete the Fiery Wings, Fiery Hearts quest."
Flame Warsteed,"Completion of the A Line in the Sand IV achievement."
Flying Chair,"Crafted by Alchemist Level 70** with Master Alchemist V. "
Flying Cumulus,"NA and JP special DLC Promotional Events"
Forgiven Reticence,"Purchased with 3,200 Sacks of Nuts from Ilfroy"
Gilded Magitek Armor,"Completion of the Everybody's Darling achievement."
Ginga,"Obtained from Frontline Fury Achievement."
Gloria-class Airship,"Completion of the You Are What You Eat IV achievement."
Gobwalker,"Drops from Alexander - The Burden of the Father (Savage) / A4S."
Goobbue,"Goobbue Mount is available only to 1.0 players."
Goten,"Fatal Feast PvP Achievement"
Grani,"Purchasing the Collector's Edition of Shadowbringer."
Griffin,"Purchasing the Collector's Edition of Heavensward."
Gullfaxi,"Dropped by Titan in The Navel (Extreme)."
Hallowed Kamuy,"Rare drop from the Wreath of Snakes (Extreme)."
Indigo Whale,"Purchased from the Mog Station for EUR 20 or $29."
Innocent Gwiber,"Trial reward for Innocence - Crown of the Immaculate (Extreme)."
Ironfrog Mover,"Purchased with 12x Formidable Cog from FATE Chain in Kholusia."
Ixion,"Trade 12 Ixion Horns to Eschina."
Juedi,"Have all 4 Empyrean Accessories in your inventory and speak with Cast-off Confederate in Crick."
Kamuy of the Nine Tails,"Collect every Stormblood Extreme Primal Mount and complete A Lone Wolf No More sidequest."
Kirin,"Complete the A Legend for a Legend sidequest"
Kongamato,"Obtain Rank 7 (Sworn) with Vath Beast Tribe."
Korpokkur Kolossus,"Purchased in Gold Saucer for 750,000 MGP"
Laurel Goobbue,"Sylphic Vendor with ""Trusted"" Reputation with the tribe."
Legacy Chocobo,"Legacy Chocobo is available to legacy players."
