Group,Name,Points,Description,Reward
Unique Recipes,I Made That: Goldsmith I,5,Craft 60 unique goldsmith recipes.
Unique Recipes,I Made That: Goldsmith II,5,Craft 130 unique goldsmith recipes.
Unique Recipes,I Made That: Goldsmith III,10,Craft 270 unique goldsmith recipes.,Item: Master Goldsmith's Ring
Unique Recipes,I Made That: Goldsmith IV,10,Craft 380 unique goldsmith recipes.
Unique Recipes,I Made That: Goldsmith V,10,Craft and record completion of 550 unique goldsmith recipes.,Item: Blessed Gemkeep's Mallet
Unique Recipes,I Made That: Goldsmith VI,10,Craft and record completion of 730 unique goldsmith recipes.,Item: Blessed Gemking's Mallet
Synthesizing,Cutting the Carats: Amateur,5,Successfully synthesize 50 times for level 1-10 goldsmithing recipes.
Synthesizing,Cutting the Carats: Initiate,5,Successfully synthesize 300 times for level 11-20 goldsmithing recipes.
Synthesizing,Cutting the Carats: Apprentice,5,Successfully synthesize 750 times for level 21-30 goldsmithing recipes.
Synthesizing,Cutting the Carats: Journeyman,5,"Successfully synthesize 1,500 times for level 31-40 goldsmithing recipes."
Synthesizing,Cutting the Carats: Artisan,10,"Successfully synthesize 3,000 times for level 41-50 goldsmithing recipes.",Title: Of the Golden Leaf
Synthesizing,Cutting the Carats: Adept,10,"Successfully synthesize 1,000 times for level 51-60 goldsmithing recipes."
Synthesizing,Cutting the Carats: Veteran,10,"Successfully synthesize 1,000 times for level 61-70 goldsmithing recipes."
Synthesizing,Cutting the Carats: Master,10,"Successfully synthesize 1,000 times for level 71-80 goldsmithing recipes."
Synthesizing,A Goldsmith's Life for Me,30,"Obtain the first five ""Cutting the Carats"" achievements.",Item: Gavel of the Luminary
High Quality Crafts,An Eye for Detail: Goldsmith I,5,Craft 100 high-quality items as a goldsmith.
High Quality Crafts,An Eye for Detail: Goldsmith II,5,Craft 500 high-quality items as a goldsmith.
High Quality Crafts,An Eye for Detail: Goldsmith III,10,"Craft 3,000 high-quality items as a goldsmith."
High Quality Crafts,An Eye for Detail: Goldsmith IV,10,"Craft 5,000 high-quality items as a goldsmith."
High Quality Crafts,An Eye for Detail: Goldsmith V,10,"Craft 10,000 high-quality items as a goldsmith.",Title: Master Goldsmith
