Number,Name,Method
1,Pa-Paya,Hatching-tide (2016) Seasonal Event. MogStation: 3 USD / 2.1 EUR
2,Moonfire Faire,Moonfire Faire (2016) Seasonal Event. 3 USD / 2.1 EUR
3,Heavensward,The Rising (2016) Seasonal Event. 3 USD / 2.1 EUR
4,All Saints' Wake,All Saints' Wake (2016) Seasonal Event. 3 USD / 2.1 EUR
5,Up at Dawn,All Saints' Wake (2016) Seasonal Event. 3 USD / 2.1 EUR
6,Starlight Celebration,Starlight Celebration Seasonal Event. 3 USD / 2.1 EUR
7,Heavensturn,Heavensturn (2017) Seasonal Event. MogStation: 3 USD / 2.1 EUR
8,The Kiss,Valentione's Day (2017) Seasonal Event. MogStation: 3 USD / 2.1 EUR
9,Hyper Rainbow Z,Moonfire Faire (2017) Seasonal Event. 3 USD / 2.1 EUR
10,Answers - Reprise,The Rising (2017) Seasonal Event. 3 USD / 2.1 EUR
11,Stormblood,The Rising (2017) Seasonal Event. 3 USD / 2.1 EUR
12,Starlit Gateway,Starlight Celebration (2017) Seasonal Event. 3 USD / 2.1 EUR
13,Siren Song,Little Ladies' Day (2018) Seasonal Event
14,Revolutions,The Rising (2018) Seasonal Event
15,"Starlight, Starbright",Starlight Celebration (2018) Seasonal Event
16,Hammerhead,Trade Unidentified Magitek with Ironworks Hand
17,Valse di Fantastica,Trade Unidentified Magitek with Ironworks Hand
18,Relax and Reflect,Trade Unidentified Magitek with Ironworks Hand
19,Veiled in Black,Trade Unidentified Magitek with Ironworks Hand
20,Apocalypsis Noctis,Trade Unidentified Magitek with Ironworks Hand
21,A Quick Pit Stop,Trade Unidentified Magitek with Ironworks Hand
22,Starlight De Chocobo,Starlight Celebration (2019) Seasonal Event
